"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPR184W",740.102103658065,-1.563362309393,0.415607457105408,-3.76163199833177,0.000168808294236233,0.0135099665519739
"YDL222C",57.1345355392345,-2.17535372354271,0.583784921922393,-3.72629309503115,0.000194316438923825,0.0135992931299777
"YLR264W",119.013141274512,1.65570566829623,0.445782068327483,3.71415941988923,0.000203880243768815,0.0140618272477651
"YGL121C",19.2899527892242,-2.82755845128117,0.764057425896685,-3.70071457385916,0.000214993195073304,0.0143435902191715
"YGR043C",48.2850424220656,-1.95467021005076,0.529522044430051,-3.69138590283745,0.000223035443626538,0.0143435902191715
"YJR096W",151.660375139461,-1.63462091772131,0.442685321478335,-3.69251212636221,0.000222049749458714,0.0143435902191715
"YLR448W",407.140885017601,1.72304773936418,0.465080915898736,3.70483432121595,0.00021152894752738,0.0143435902191715
"YMR095C",27.0607471442039,-3.27181076612697,0.884767569964531,-3.69793251605971,0.000217362653794837,0.0143435902191715
"YMR290C",104.10004601103,1.7232392846156,0.467429097047745,3.6866324657568,0.000227241179881337,0.0144192103340704
"YFL014W",857.856524941179,-1.73237871884407,0.470871014214024,-3.67909399081561,0.00023406399932515,0.0144212870597961
"YIL136W",592.948803280545,-1.48585303338868,0.404342068208523,-3.67474262564838,0.000238089298785675,0.0144212870597961
"YJL190C",503.514588754726,1.7784135094356,0.484563944591966,3.67013173242416,0.000242425502160892,0.0144212870597961
"YNL200C",94.4000447849064,-1.6543956676318,0.449859894247001,-3.67757981715843,0.000235457409050362,0.0144212870597961
"YPL183C",40.5055115915732,1.9864569272029,0.540885863370736,3.67259908555114,0.000240096008162032,0.0144212870597961
"YBR115C",282.720842337928,-1.65593807759377,0.457963100849994,-3.61587663835863,0.000299332908022319,0.0151136962503753
"YCR031C",1144.29844352707,1.61726945535165,0.446936746952341,3.61856452032598,0.000296241648207159,0.0151136962503753
"YDL085W",28.3605173711666,-2.24516330036356,0.618286881621623,-3.63126465577763,0.000282035777837182,0.0151136962503753
"YGL123W",2122.15752792908,1.70077430873354,0.469128658811594,3.62538991551269,0.000288525786220281,0.0151136962503753
"YGL120C",64.6171733733221,1.93753836920412,0.531462883476482,3.64567014827077,0.000266695885415346,0.0151136962503753
"YGL076C",938.437917497685,1.65810512614238,0.458607149156037,3.61552393850324,0.000299740773385719,0.0151136962503753
"YGR034W",563.344010991541,1.69163397560862,0.468099525562528,3.61383398877779,0.000301702278584924,0.0151136962503753
"YGR087C",20.6355190016275,-3.58406199231889,0.989899138884566,-3.62063350853852,0.000293882555087807,0.0151136962503753
"YGR090W",79.0030407861131,1.76012268448199,0.482140020375693,3.65064630625449,0.000261581253143354,0.0151136962503753
"YHR010W",842.293413852986,1.65020336243114,0.455351940735538,3.62401741335623,0.000290062063312746,0.0151136962503753
"YKR094C",551.727169747904,1.75075512579256,0.48422169895544,3.6156065074516,0.000299645243258029,0.0151136962503753
"YLR009W",44.3571858122957,1.95406212237468,0.539609275806015,3.62125376635881,0.000293178763031141,0.0151136962503753
"YLR409C",60.7892923584717,1.90472921797179,0.522992051179131,3.64198502382094,0.000270543815764329,0.0151136962503753
"YNL132W",66.3817139021516,1.8109857350641,0.498984429245374,3.62934317971183,0.000284143285838067,0.0151136962503753
"YNL069C",1006.82564276232,1.67464689779606,0.461810474940247,3.62626442809193,0.000287550901086689,0.0151136962503753
"YOR063W",3992.55619676561,1.4671244213737,0.406421059668082,3.60986318615446,0.000306358549881103,0.0151870868633768
"YML056C",88.8368621316072,1.71659136681301,0.476434163634164,3.60299805899544,0.000314567878529802,0.0154332838548797
"YIL127C",27.3020771900624,2.30044541860351,0.639473437494898,3.59740574622673,0.000321406906268439,0.0156079129278725
"YDR012W",1868.37267983683,1.51787934835016,0.42306153024435,3.58784536016185,0.000333421934257974,0.0157104453973634
"YDR258C",810.42748677601,-1.3848098236041,0.38557704824329,-3.59152555867463,0.000328747928446544,0.0157104453973634
"YEL054C",566.58850086572,1.76580366055909,0.491937379101432,3.5894886942409,0.000331327199579894,0.0157104453973634
"YDL148C",57.9125645454622,1.82415965546699,0.508997868444669,3.58382572610966,0.00033859804786146,0.0157979226448303
"YDR500C",505.002201689407,1.53156739135099,0.428721939054579,3.5724026503715,0.000353720991271757,0.0160951042396963
"YLR406C",217.452515211259,1.61716488894816,0.4528131150363,3.57137378589073,0.000355113667822676,0.0160951042396963
"YPR030W",155.605320862779,-1.61248472249775,0.450884461463077,-3.57627033157317,0.000348531240134827,0.0160951042396963
"YLL045C",1369.91008986481,1.73273158794732,0.486186437735131,3.56392415226376,0.000365351565732107,0.0164029066162179
"YPL079W",500.520367701373,1.73468305112,0.487172496228306,3.56071630592846,0.000369844500088038,0.0164494390272801
"YNL175C",69.5284720822385,1.75648351690923,0.493693979786536,3.55783863856047,0.00037391888549323,0.0164766664450211
"YKR057W",305.943562343431,1.7512837274691,0.492830259962376,3.55352312904407,0.000380107771383723,0.016595714532249
"YOR341W",249.846267012592,1.51861418877948,0.428151596678551,3.54690768540944,0.000389781146010821,0.0167114276924819
"YPL131W",2237.11100766232,1.59482586762914,0.449472178306353,3.54821932169098,0.000387845121249741,0.0167114276924819
"YLR222C",34.6674664082025,2.17733955468466,0.615810034841237,3.53573250108859,0.000406646232753929,0.0172788341221067
"YOR096W",734.693422791705,1.63201256797937,0.461911396112044,3.53317233936247,0.000410604714444427,0.0172926357171773
"YGL099W",52.1499628838273,1.84771243515563,0.524562172985192,3.52238977629786,0.000427674843072437,0.0178535489314186
"YCR047C",36.2542912282933,2.04748975375247,0.581831884626754,3.51904013487666,0.00043311118098395,0.0179232705243706
"YBR147W",31.2093090797865,-2.05838540374105,0.586716758242185,-3.508311932163,0.000450959953569861,0.0181874442291438
"YDR398W",38.5944585800065,1.98482228132806,0.565644276181903,3.50895848310462,0.000449865122228396,0.0181874442291438
"YNL308C",117.11815636783,1.54408824973136,0.439749487500112,3.51129061800434,0.000445936599631276,0.0181874442291438
"YDL082W",413.668743743773,1.60406705358641,0.458057635257806,3.50188912948389,0.000461971815355193,0.0183068296762657
"YGL078C",91.6070760841438,1.7000228108424,0.485895343183499,3.49874275333482,0.000467457347375913,0.0183068296762657
"YLR029C",1819.10503901032,1.47558365383553,0.42213668786616,3.49551151617357,0.000473154034498986,0.0183068296762657
"YMR049C",92.574266213771,1.71363973777669,0.489482432646283,3.50092183801626,0.00046365180691562,0.0183068296762657
"YPL012W",56.3636226849731,1.81933125233881,0.52016356749163,3.49761376236348,0.000469440451287532,0.0183068296762657
"YJL153C",74.9704611778475,-2.03419799520911,0.583081206512945,-3.48870444200116,0.000485367497425396,0.0186279348407053
"YDL153C",100.958958900373,1.63324835846559,0.469933215697526,3.47549035460569,0.000509920329476784,0.0192596099046033
"YKL218C",103.929942032994,-2.11418079858345,0.608302577547727,-3.4755414108328,0.000509823273672042,0.0192596099046033
"YHR089C",163.280571677856,1.94034777167791,0.559669059140821,3.4669555873906,0.000526388856173622,0.01972507532701
"YEL026W",66.6744913846223,1.85961068141856,0.537026632288596,3.46279042715933,0.000534604615255112,0.0198764325312428
"YFL055W",31.6676214990772,-2.43447565947334,0.704855045713467,-3.4538671096681,0.000552609608945944,0.0203865823951453
"YLR197W",292.125005502482,1.69289939429392,0.490560671296181,3.45094805464301,0.000558621075205198,0.0204498284377041
"YFR031C-A",1307.29551741127,1.66566766436395,0.483558884012832,3.44460151479658,0.000571901836556698,0.0206865840291837
"YML131W",91.0139832537363,-1.55954233526879,0.452866380376694,-3.44371409061445,0.000573782116379964,0.0206865840291837
"YBL015W",373.72247210791,-1.39476314085401,0.406003732617845,-3.43534561089084,0.000591798561628246,0.0207422645366491
"YBR031W",1937.46590006783,1.48853744018977,0.433444773062614,3.43420323118014,0.00059429843581168,0.0207422645366491
"YDR064W",941.425750621732,1.58242198512226,0.461099648589591,3.43184383237455,0.000599492663693718,0.0207422645366491
"YDR382W",1013.09739590568,1.54376852341374,0.44995403515062,3.4309471697414,0.000601477727685979,0.0207422645366491
"YLR327C",450.609123412932,-1.43649053368257,0.41813700863866,-3.43545417890511,0.000591561491843336,0.0207422645366491
"YML063W",1592.51195004095,1.55310665313282,0.452003912456742,3.43604692422094,0.000590268727662521,0.0207422645366491
"YDR453C",52.8324730391425,-1.77526373025102,0.517840519599755,-3.42820552478811,0.000607585294258582,0.0208021468732129
"YBR079C",307.120380003115,1.47713399740801,0.431138114801775,3.42612714277686,0.000612253715882245,0.0208122530991686
"YLR264C-A",99.4892788505489,1.59960321409609,0.467577133527921,3.42104670950632,0.000623806174517253,0.0210046086682016
"YOR091W",62.6931728825523,1.66865079497062,0.487942324978227,3.41977055391757,0.000626739741728225,0.0210046086682016
"YLR249W",2990.88804204619,1.51281256117717,0.442952639413471,3.4152918993334,0.000637136932948378,0.021056490721537
"YNL096C",355.20643444826,1.53262786246352,0.448585211863866,3.41658133600854,0.000634127178145771,0.021056490721537
"YLR196W",91.3342859825609,1.64048337875311,0.481656892390613,3.40591696012254,0.00065942233084914,0.02164269567249
"YLR048W",772.620456806327,1.59046418281965,0.467715905722923,3.40049197249633,0.000672647108981461,0.0217763781744406
"YOR272W",40.1048125010371,1.89379017195069,0.556640770400279,3.40217654303129,0.000668514377907408,0.0217763781744406
"YHR141C",534.876506983342,1.55060192423219,0.457402633515458,3.39001529640251,0.000698887238858952,0.022473002498174
"YKL143W",68.8996986727693,1.63892026421912,0.483947182640355,3.3865684583127,0.00070772616601198,0.0226044887520202
"YLR180W",150.121545060806,-1.59588384318011,0.471645202588503,-3.38365329366548,0.000715282650818312,0.0226481522599984
"YPR010C",204.453601323265,1.58909056485908,0.469814565960641,3.38237824025278,0.000718611261033781,0.0226481522599984
"YBR084W",229.358790412262,1.52731530999842,0.452484858677901,3.37539539877872,0.00073709706237258,0.023077927104152
"YPL143W",615.321646778486,1.58272234813712,0.469371221432993,3.37200551688078,0.000746229535982947,0.0232111526911297
"YDL083C",657.271211869756,1.58456670167004,0.471992318039002,3.35718748189266,0.000787397013433391,0.024175628302771
"YMR196W",568.687321997399,-1.39721206129164,0.416038207955181,-3.35837438623464,0.000784023459888445,0.024175628302771
"YNL162W",472.76044358573,1.5042714251874,0.448578177840454,3.35342087399184,0.000798192323237281,0.0243499824761937
"YDL229W",1888.4953620646,1.62392002851828,0.484993656373303,3.34833251358722,0.000812994042050244,0.024643558255523
"YGL125W",105.826816581562,-1.47756661378213,0.441881297391726,-3.3438088973299,0.00082636640041474,0.0248903651871756
"YMR242C",687.066915547119,1.60064820273624,0.479109530543378,3.340881574451,0.000835128363989537,0.024996074743561
"YIL018W",1734.4058165112,1.60163795826421,0.48081329018462,3.33110167909298,0.000865029994450371,0.0256243718367585
"YMR142C",863.159737502444,1.55228080207629,0.466079832708535,3.33050411783642,0.000866888813977332,0.0256243718367585
"YBR181C",1161.16600770022,1.58256101272603,0.475895527313215,3.32543787847885,0.000882797703101735,0.0258289593344909
"YPL093W",68.8716058206265,1.66533875214131,0.500876534250799,3.32484881654975,0.000884664923623034,0.0258289593344909
"YLR174W",53.8703300682902,-2.29324655873867,0.691247950778647,-3.31754554375962,0.000908121090451382,0.0263521235942569
"YHR203C",1176.40311305879,1.57161003020316,0.474491963299891,3.31219525674003,0.000925669146240005,0.0264187461870279
"YJL050W",84.1888901956794,1.57021058258935,0.474130048669317,3.31177192206288,0.000927070942053722,0.0264187461870279
"YLR175W",263.606750815813,1.59208175747361,0.480462106607836,3.31364687366095,0.000920877280403271,0.0264187461870279
"YJR073C",260.454394297443,-1.33331075485322,0.403476257775593,-3.30455814724739,0.000951262407566485,0.0269467726048149
"YDL169C",26.6057908102846,-2.03028160152694,0.617148167533128,-3.28977984272789,0.00100265799163484,0.0280685257775893
"YLL034C",31.0574994863814,2.02620854738497,0.615756586462225,3.29059987652974,0.000999740045974712,0.0280685257775893
"YDR165W",51.4665370883195,1.65168484098211,0.502891958427451,3.28437314079738,0.0010220950062826,0.0281508547589652
"YMR169C",98.5479321946391,-1.54538941514174,0.470621033664099,-3.2837236430124,0.00102445325983498,0.0281508547589652
"YMR308C",181.640497262349,1.36174546871919,0.414339657862174,3.28654388466035,0.00101424968818874,0.0281508547589652
"YOL121C",380.926080858058,1.63151113796288,0.497047625628979,3.2824040470937,0.00102926008154233,0.0281508547589652
