"","logFC","logCPM","PValue","FDR"
"YHL016C",-1.60907165051468,5.11396094815511,3.00026011503452e-05,0.000978272313758443
"YDR031W",-1.63639781363917,5.06501705264622,3.10191479561587e-05,0.00100410529297066
"YNL112W",2.23384830103314,6.36045935643369,3.13535910447185e-05,0.00100410529297066
"YBR089C-A",-1.23355967420243,5.8945113531594,3.13722757819085e-05,0.00100410529297066
"YKL103C",-1.55640642651602,8.63903228958855,3.20777479404464e-05,0.00102042445734945
"YGR177C",1.75432752373921,4.71395587825699,3.37854169248942e-05,0.00106823345513438
"YER110C",1.19922216989121,7.6305550263375,3.60276829872739e-05,0.00113226760328077
"YGR271C-A",1.84569427266598,4.77545993043412,4.28610171807083e-05,0.00133895764450153
"YKL205W",1.20404620980412,6.14292183399462,4.42882086531998e-05,0.00137530705085561
"YML128C",-1.68501157618169,9.47145862144947,4.65468254271194e-05,0.0014368922381851
"YLR303W",-4.44572201639924,8.4540191075865,4.87635582243958e-05,0.00149646754856866
"YJL066C",-1.26619003973887,6.48453681812318,4.98394274652278e-05,0.00152053972564967
"YLR406C",1.61866490576283,8.18279356107947,5.12001289897597e-05,0.00154573346227597
"YKL172W",1.54873509471922,6.89008987861045,5.12577897208633e-05,0.00154573346227597
"YGR128C",1.43587176180176,6.11332087758806,5.24314304536332e-05,0.00155813629247781
"YJR063W",2.42563192108268,4.07804196722476,5.24873149207705e-05,0.00155813629247781
"YER142C",-1.26602010651583,5.89174142909441,5.25650733134167e-05,0.00155813629247781
"YDL014W",2.08986731282776,8.7800662827062,5.39210357045673e-05,0.00158929967949563
"YDR161W",1.29617204345228,6.14790508163083,5.63065084370874e-05,0.0016502868231252
"YIL069C",1.81954991323097,9.04339153450762,5.74933508267314e-05,0.00167565816348077
"YER150W",-1.08968176729258,7.13439276579055,5.79364742010007e-05,0.00167919214392567
"YOR341W",1.51764912396084,8.38407076442997,5.86399944674645e-05,0.00169019254771692
"YGR209C",-1.18835786675053,7.55167569152539,6.04388849534976e-05,0.00173247067473845
"YER119C",-1.30304452310189,6.81584714575022,6.12914283959788e-05,0.00174730809804274
"YLR002C",1.33860522703606,5.6285613012086,6.34397149233734e-05,0.00179504682985606
"YPL146C",1.55171161904831,6.3032258469724,6.36541429026971e-05,0.00179504682985606
"YIL019W",1.52700281831421,5.30289859829558,6.51953981159739e-05,0.00182862576328514
"YGL147C",1.99445267167569,10.1615885852973,6.56889651781962e-05,0.00183261674510508
"YOR340C",1.281674013175,5.94729590877554,6.606458647338e-05,0.00183329227463629
"YNL110C",1.53243192990797,5.98626617437043,6.84146869500921e-05,0.00188846254930492
"YGR249W",1.19351482122669,6.13520160827761,6.89615955923361e-05,0.00189354023265904
"YDL063C",1.38838884226918,5.37917186649119,7.15452843164774e-05,0.00195419763496891
"YOR210W",1.25739594057413,5.54593781009804,7.42764805648778e-05,0.00201323167837856
"YDL037C",1.92029555860689,4.28057263258059,7.4478381047932e-05,0.00201323167837856
"YNL182C",1.9957648574146,5.11380624378352,7.53022343029653e-05,0.00202500905339469
"YML059C",1.0602429015904,6.56418873951391,7.66206005883059e-05,0.00204989576035483
"YKL014C",1.3420156252107,6.27082685106485,7.81023979204706e-05,0.00207887862219947
"YOR004W",1.50714533766682,4.99404322087387,8.21311693380058e-05,0.00216159945316509
"YER042W",-3.43648145838827,5.84852677244092,8.22486759964653e-05,0.00216159945316509
